"# sample","citing DOI","reference count","# reference","DOI","reference","key","author","year","article-title","journal-title","volume","issue","first-page","volume-title","edition","series-title","standards-body","ISSN","issn-type","ISBN","isbn-type","component","unstructured"
"516","10.3390/ijms18102182","95","55","10.1016/j.amjmed.2015.11.001","ref55, 10.1016/j.amjmed.2015.11.001, publisher","ref55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","10.7183/2326-3768.3.4.397","15","5","10.1002/evan.10009","S2326376800000607_ref016, 10.1002/evan.10009, publisher","S2326376800000607_ref016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518","10.1007/s11082-016-0837-y","45","38","10.1002/dmrr.196","837_CR38, crossref, 189, 10.1002/dmrr.196, 17, P Rosen, 2001, Rosen, P., Nawroth, P.P., King, G., Moller, W., Tritschler, H.J., Packer, L.: The role of oxidative stress in the onset and progression of diabetes and its complications, a summary of a Congress Series sponsored by UNESCO-MCBN, the American Diabetes Association and the German Diabetes Society Diabetes. Metab. Res. Rev. 17, 189–212 (2001), Metab. Res. Rev.","837_CR38","P Rosen","2001",NA,"Metab. Res. Rev.","17",NA,"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosen, P., Nawroth, P.P., King, G., Moller, W., Tritschler, H.J., Packer, L.: The role of oxidative stress in the onset and progression of diabetes and its complications, a summary of a Congress Series sponsored by UNESCO-MCBN, the American Diabetes Association and the German Diabetes Society Diabetes. Metab. Res. Rev. 17, 189–212 (2001)"
"519","10.1039/c6tc02731h","59","9","10.1016/S0167-2738(02)00548-9","C6TC02731H-(cit9)/*[position()=1], Ahniyaz, 151, 419, 2002, Solid State Ionics, 10.1016/S0167-2738(02)00548-9, crossref","C6TC02731H-(cit9)/*[position()=1]","Ahniyaz","2002",NA,"Solid State Ionics","151",NA,"419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","10.1007/s11164-015-2225-9","39","4","10.1021/nn204191x","2225_CR4, crossref, 712, 10.1021/nn204191x, 6, P Chen, 2012, P. Chen, T.-Y. Xiao, H.-H. Li, J.-J. Yang, Z. Wang, H.-B. Yao, S.-H. Yu, ACS Nano 6, 712 (2012), ACS Nano","2225_CR4","P Chen","2012",NA,"ACS Nano","6",NA,"712",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P. Chen, T.-Y. Xiao, H.-H. Li, J.-J. Yang, Z. Wang, H.-B. Yao, S.-H. Yu, ACS Nano 6, 712 (2012)"
"521","10.1080/10572317.2017.1353379","6","5",NA,"cit0005, CARL—Canadian Association of Research Libraries, CARL strategic directions May 2013 to May 2016","cit0005","CARL—Canadian Association of Research Libraries",NA,NA,"CARL strategic directions May 2013 to May 2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","10.2514/1.g002648","24","12","10.2514/6.2008-7258","r16, 10.2514/6.2008-7258, publisher","r16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","10.1007/s10593-016-1874-y","14","4","10.1021/cr60229a002","1874_CR4, crossref, 229, 10.1021/cr60229a002, 64, RD Barry, 1964, Barry, R. D. Chem. Rev. 1964, 64, 229., Chem. Rev.","1874_CR4","RD Barry","1964",NA,"Chem. Rev.","64",NA,"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barry, R. D. Chem. Rev. 1964, 64, 229."
"524","10.1155/2017/2837685","32","20","10.1212/WNL.17.5.427","35, 10.1212/WNL.17.5.427, publisher","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","10.1155/2016/5863219","8","7",NA,"7, 294, 6581, article 1197, 1987, The British Medical Journal","7",NA,"1987",NA,"The British Medical Journal","294","6581, article 1197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","10.1007/s00339-017-0754-3","13","8",NA,"754_CR8, 1463, 13, AA Nawaz, 2013, A.A. Nawaz, X. Mao, Z.S. Stratton, T. Huang, J., Unconventional microfluidics: expanding the discipline. Lab Chip, R Soc Chem
13, 1463 (2013), Lab Chip, R Soc Chem","754_CR8","AA Nawaz","2013",NA,"Lab Chip, R Soc Chem","13",NA,"1463",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.A. Nawaz, X. Mao, Z.S. Stratton, T. Huang, J., Unconventional microfluidics: expanding the discipline. Lab Chip, R Soc Chem
13, 1463 (2013)"
"527","10.1002/2014ja020409","27","11","10.1029/2000JA000329","10.1002/2014JA020409-BIB0012|jgra51510-cit-0012, crossref, 18,693, 10.1029/2000JA000329, One- and two-dimensional simulations of electron beam instability. Generation of electrostatic and electromagnetic 2fp waves, 105, Kasaba, 2001, J. Geophys. Res.","10.1002/2014JA020409-BIB0012|jgra51510-cit-0012","Kasaba","2001","One- and two-dimensional simulations of electron beam instability. Generation of electrostatic and electromagnetic 2fp waves","J. Geophys. Res.","105",NA,"18,693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","10.1111/acfi.12308","34","33","10.1007/s10551-015-2699-9","10.1111/acfi.12308-BIB0034|acfi12308-cit-0034, crossref, 351, 10.1007/s10551-015-2699-9, Financial management effectiveness and board gender diversity in member-governed, community financial institutions, 141, Ward, 2015, Journal of Business Ethics","10.1111/acfi.12308-BIB0034|acfi12308-cit-0034","Ward","2015","Financial management effectiveness and board gender diversity in member-governed, community financial institutions","Journal of Business Ethics","141",NA,"351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","10.1080/21680566.2016.1225270","33","2","10.3141/2467-04","CIT0002, 10.3141/2467-04, publisher","CIT0002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","10.7717/peerj.1438","21","15","10.2190/HS.41.2.c","10.7717/peerj.1438/ref-15, publisher, 231, 10.2190/HS.41.2.c, Estimating the economic burden of racial health inequalities in the United States, 41, LaVeist, 2011, International Journal of Health Services","10.7717/peerj.1438/ref-15","LaVeist","2011","Estimating the economic burden of racial health inequalities in the United States","International Journal of Health Services","41",NA,"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","10.1155/2017/3143069","26","18","10.1080/02841850701342146","18, 10.1080/02841850701342146, publisher","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","10.1038/gim.2016.154","40","39","10.1093/jnci/djq443","gim2016154-bib39, 10.1093/jnci/djq443, publisher","gim2016154-bib39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","10.1111/codi.13108","29","2","10.1046/j.1463-1318.2002.00377.x","10.1111/codi.13108-BIB0002|codi13108-cit-0002, crossref, 436, 10.1046/j.1463-1318.2002.00377.x, Preoperative assessment of anal fistulas using endoanal ultrasound, 4, Lengyel, 2002, Colorectal Dis","10.1111/codi.13108-BIB0002|codi13108-cit-0002","Lengyel","2002","Preoperative assessment of anal fistulas using endoanal ultrasound","Colorectal Dis","4",NA,"436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","10.1007/s12306-016-0401-8","19","14","10.1016/j.jse.2004.10.009","401_CR14, publisher, 279, 10.1016/j.jse.2004.10.009, 14, LI Katolik, 2005, Katolik LI, Romeo AA, Cole BJ, Verma NN, Hayden JK, Bach BR (2005) Normalization of the Constant score. J Shoulder Elb Surg 14:279–285. doi: 10.1016/j.jse.2004.10.009, J Shoulder Elb Surg","401_CR14","LI Katolik","2005",NA,"J Shoulder Elb Surg","14",NA,"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katolik LI, Romeo AA, Cole BJ, Verma NN, Hayden JK, Bach BR (2005) Normalization of the Constant score. J Shoulder Elb Surg 14:279–285. doi: 10.1016/j.jse.2004.10.009"
"535","10.1093/jrs/fev021","23","9",NA,"2016062005543555000_29.2.187.9, Karadawi A. (1999) Refugee Policy in Sudan: 1967–1984. New York: Berghahn Books.","2016062005543555000_29.2.187.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karadawi A. (1999) Refugee Policy in Sudan: 1967–1984. New York: Berghahn Books."
"536","10.1080/15440478.2015.1137530","13","11",NA,"CIT0013, Siva R., 92, 916, 2007, Current Science","CIT0013","Siva R.","2007",NA,"Current Science","92",NA,"916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","10.1039/c4tx00120f","45","39","10.1038/nprot.2006.281","C4TX00120F-(cit39)/*[position()=1], Mahoney, 1, 1772, 2006, Nat. Protocols, 10.1038/nprot.2006.281, crossref","C4TX00120F-(cit39)/*[position()=1]","Mahoney","2006",NA,"Nat. Protocols","1",NA,"1772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","10.1080/19401493.2016.1265590","43","12","10.1111/0272-4332.00041","CIT0019, 10.1111/0272-4332.00041, publisher","CIT0019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","10.1007/s10508-016-0857-5","50","47",NA,"857_CR47, MS Weinberg, 1994, Weinberg, M. S., Williams, C. J., & Pryor, D. W. (1994). Dual attraction: Understanding bisexuality. New York: Oxford University Press., Dual attraction: Understanding bisexuality","857_CR47","MS Weinberg","1994",NA,NA,"Dual attraction: Understanding bisexuality",NA,NA,"Dual attraction: Understanding bisexuality",NA,NA,NA,NA,NA,NA,NA,NA,"Weinberg, M. S., Williams, C. J., & Pryor, D. W. (1994). Dual attraction: Understanding bisexuality. New York: Oxford University Press."
"540","10.1111/nan.12297","177","1","10.1136/jnnp.2007.131045","10.1111/nan.12297-BIB0001|nan12297-cit-0001, crossref, 368, 10.1136/jnnp.2007.131045, Parkinson's disease: clinical features and diagnosis, 79, Jankovic, 2008, J Neurol Neurosurg Psychiatry","10.1111/nan.12297-BIB0001|nan12297-cit-0001","Jankovic","2008","Parkinson's disease: clinical features and diagnosis","J Neurol Neurosurg Psychiatry","79",NA,"368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","10.1108/tcj-03-2016-0028","2","2",NA,"ref011, Crompton, J. (2014), “Fueling up: capacity upgrades and investments will spur modest growth as global demand rises”, IBIS World Industry Report No. 32411.","ref011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crompton, J. (2014), “Fueling up: capacity upgrades and investments will spur modest growth as global demand rises”, IBIS World Industry Report No. 32411."
"542","10.1007/s12288-016-0756-x","35","5","10.1093/annonc/mdi003","756_CR5, crossref, 116, 10.1093/annonc/mdi003, 16, A Josting, 2005, Josting A, Rudolph C, Mapara M, Glossmann JP, Sieniawski M, Sieber M, Kirchner HH, Dörken B, Hossfeld DK, Kisro J, Metzner B, Berdel WE, Diehl V, Engert A (2005) Cologne high dose sequential chemotherapy in relapsed and refractory Hodgkin lymphoma: results of a large multicenter study of the German Hodgkin Lymphoma Study Group(GHSG). Ann Oncol 16:116–123, Ann Oncol","756_CR5","A Josting","2005",NA,"Ann Oncol","16",NA,"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Josting A, Rudolph C, Mapara M, Glossmann JP, Sieniawski M, Sieber M, Kirchner HH, Dörken B, Hossfeld DK, Kisro J, Metzner B, Berdel WE, Diehl V, Engert A (2005) Cologne high dose sequential chemotherapy in relapsed and refractory Hodgkin lymphoma: results of a large multicenter study of the German Hodgkin Lymphoma Study Group(GHSG). Ann Oncol 16:116–123"
"543","10.1039/c6py00278a","55","12","10.1021/cm501717c","C6PY00278A-(cit12)/*[position()=1], Zhang, 26, 4023, 2014, Chem. Mater., 10.1021/cm501717c, crossref","C6PY00278A-(cit12)/*[position()=1]","Zhang","2014",NA,"Chem. Mater.","26",NA,"4023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","10.1111/cp.12117","45","33","10.1089/cyber.2012.0195","10.1111/cp.12117-BIB0033|cp12117-cit-0033, crossref, 370, 10.1089/cyber.2012.0195, Impact of exchanges and client-therapist alliance in online-text psychotherapy, 16, Reynolds, 2013, CyberPsychology, Behavior and Social Networking","10.1111/cp.12117-BIB0033|cp12117-cit-0033","Reynolds","2013","Impact of exchanges and client-therapist alliance in online-text psychotherapy","CyberPsychology, Behavior and Social Networking","16",NA,"370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","10.1080/13662716.2017.1329086","67","49","10.1093/jeg/lbn024","CIT0052, 10.1093/jeg/lbn024, publisher","CIT0052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","10.1017/ice.2016.328","14","4","10.1017/ice.2016.26","S0899823X16003287_ref17, 10.1017/ice.2016.26, publisher","S0899823X16003287_ref17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","10.1007/s10751-015-1191-3","77","70","10.1103/PhysRevC.88.011306","1191_CR70, crossref, 11306, 10.1103/PhysRevC.88.011306, 88, Y Ito, 2013, Ito, Y., Schury, P., et al.: Phys. Rev. C 88, 11306 (2013), Phys. Rev. C","1191_CR70","Y Ito","2013",NA,"Phys. Rev. C","88",NA,"11306",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ito, Y., Schury, P., et al.: Phys. Rev. C 88, 11306 (2013)"
"548","10.1017/jfm.2017.181","49","12","10.1039/C5LC01286D","S0022112017001811_r39, 10.1039/C5LC01286D, publisher","S0022112017001811_r39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","10.1111/1746-8361.12178","55","20","10.1111/0029-4624.00293","10.1111/1746-8361.12178-BIB0020|dltc12178-cit-0021, crossref, 190, 10.1111/0029-4624.00293, Emotions and Practical Reason: Rethinking Evaluation and Motivation, 35, Helm, 2002, Nous","10.1111/1746-8361.12178-BIB0020|dltc12178-cit-0021","Helm","2002","Emotions and Practical Reason: Rethinking Evaluation and Motivation","Nous","35",NA,"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550","10.3233/jbr-150104","14","8",NA,"10.3233/JBR-150104_ref8, 25, Rotating cross-arm trellis technology for blackberry production, 3, Takeda, 2013, J Berry Research","10.3233/JBR-150104_ref8","Takeda","2013","Rotating cross-arm trellis technology for blackberry production","J Berry Research","3",NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","10.1371/journal.pone.0132277","53","20","10.1111/pbi.12082","ref20, crossref, 894, 10.1111/pbi.12082, Development of an expressed gene catalogue and molecular markers from the <italic>de novo</italic> assembly of short sequence reads of the lentil (<italic>Lens culinaris Medik</italic>.) transcriptome, 11, P Verma, 2013, Plant Biotechnol J","ref20","P Verma","2013","Development of an expressed gene catalogue and molecular markers from the <italic>de novo</italic> assembly of short sequence reads of the lentil (<italic>Lens culinaris Medik</italic>.) transcriptome","Plant Biotechnol J","11",NA,"894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","10.1002/anie.201706086","38","3","10.1271/bbb.130216","10.1002/anie.201706086-BIB0002|anie201706086-cit-0003, Wu, 77, 1779, 2013, Biosci. Biotechnol. Biochem., 10.1271/bbb.130216, crossref","10.1002/anie.201706086-BIB0002|anie201706086-cit-0003","Wu","2013",NA,"Biosci. Biotechnol. Biochem.","77",NA,"1779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","10.1007/s12041-015-0598-6","20","6","10.1002/pd.1171","598_CR6, crossref, 407, 10.1002/pd.1171, 25, M Gigante, 2005, Gigante M., Greco P., Defazio V., Lucci M., Margaglione M., Gesualdo L. et al. 2005 Congenital nephrotic syndrome of Finnish type: detection of new nephrin mutations and prenatal diagnosis in an Italian family. Prenat. Diagn. 25, 407–410., Prenat. Diagn.","598_CR6","M Gigante","2005",NA,"Prenat. Diagn.","25",NA,"407",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gigante M., Greco P., Defazio V., Lucci M., Margaglione M., Gesualdo L. et al. 2005 Congenital nephrotic syndrome of Finnish type: detection of new nephrin mutations and prenatal diagnosis in an Italian family. Prenat. Diagn. 25, 407–410."
"554","10.1051/matecconf/20179701100","11","3","10.1109/JLT.2010.2045103","16, R3, crossref, 2456, 10.1109/JLT.2010.2045103, 28, Wake, 2010, J. Lightw. Technol","R3","Wake","2010",NA,"J. Lightw. Technol","28","16","2456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","10.3390/brainsci7050053","122","36","10.1016/j.ydbio.2012.12.001","ref36, 10.1016/j.ydbio.2012.12.001, publisher","ref36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","10.1007/s00586-015-3909-y","2","2","10.1097/00007632-197907000-00006","4, 3909_CR2, crossref, 379, 10.1097/00007632-197907000-00006, 4, JE Lancourt, 1979, Lancourt JE, Glenn WV Jr, Wiltse LL (1979) Multiplanar computerized tomography in the normal spine and in the diagnosis of spinal stenosis. A gross anatomic-computerized tomographic correlation. Spine 4(4):379–390. doi: 10.1097/00007632-197907000-00006, Spine","3909_CR2","JE Lancourt","1979",NA,"Spine","4","4","379",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lancourt JE, Glenn WV Jr, Wiltse LL (1979) Multiplanar computerized tomography in the normal spine and in the diagnosis of spinal stenosis. A gross anatomic-computerized tomographic correlation. Spine 4(4):379–390. doi: 10.1097/00007632-197907000-00006"
"557","10.1007/s00526-017-1268-8","62","38","10.1016/j.jde.2006.07.002","2, 1268_CR38, crossref, 743, 10.1016/j.jde.2006.07.002, 229, L Maia, 2006, Maia, L., Montefusco, E., Pellacci, B.: Positive solutions for a weakly coupled nonlinear Schrödinger system. J. Differ. Equ. 229(2), 743–767 (2006), J. Differ. Equ.","1268_CR38","L Maia","2006",NA,"J. Differ. Equ.","229","2","743",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maia, L., Montefusco, E., Pellacci, B.: Positive solutions for a weakly coupled nonlinear Schrödinger system. J. Differ. Equ. 229(2), 743–767 (2006)"
"558","10.17116/sudmed201760227-29","4","1",NA,"key-10.17116/sudmed201760227-29-1, Afanas'eva EYu, Borisova EYa, Verstakova OL, Gerasimov VB, Eremin SA, Eremin SK, Ivanova GF, Kaletin GI, Kaletina NI, Mishchikhin VA, Pavlovskaya NA, Radysh IV, Rodchenkov GM, Naidenova LF, Simonov EA, Skal'naya MG, Skal'nyi AV, Smirnov AV, Syubaev RD, Khabriev RU, Chel'tsov VV, Chukarin AV, Yagudina RI. Toksikologicheskaya khimiya. Metabolizm i analiz toksikantov. M.: GEOTAR-Media. 2008;614-626. (In Russ.).","key-10.17116/sudmed201760227-29-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afanas'eva EYu, Borisova EYa, Verstakova OL, Gerasimov VB, Eremin SA, Eremin SK, Ivanova GF, Kaletin GI, Kaletina NI, Mishchikhin VA, Pavlovskaya NA, Radysh IV, Rodchenkov GM, Naidenova LF, Simonov EA, Skal'naya MG, Skal'nyi AV, Smirnov AV, Syubaev RD, Khabriev RU, Chel'tsov VV, Chukarin AV, Yagudina RI. Toksikologicheskaya khimiya. Metabolizm i analiz toksikantov. M.: GEOTAR-Media. 2008;614-626. (In Russ.)."
"559","10.1007/s12032-016-0755-7","24","7","10.1016/j.bone.2006.02.061","3, 755_CR7, crossref, 513, 10.1016/j.bone.2006.02.061, 39, G D’Ippolito, 2006, D’Ippolito G, Diabira S, Howard GA, et al. Low oxygen tension inhibits osteogenic differentiation and enhances stemness of human MIAMI cells. Bone. 2006;39(3):513–22., Bone","755_CR7","G D’Ippolito","2006",NA,"Bone","39","3","513",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D’Ippolito G, Diabira S, Howard GA, et al. Low oxygen tension inhibits osteogenic differentiation and enhances stemness of human MIAMI cells. Bone. 2006;39(3):513–22."
"560","10.1186/s13019-015-0258-1","24","22","10.1161/hc3101.093904","258_CR22, publisher, 682, 10.1161/hc3101.093904, 104, ML Schwartz, 2001, Schwartz ML, Gauvreau K, Geva T. Predictors of outcome of biventricular repair in infants with multiple left heart obstructive lesions. Circulation. 2001;104:682–7., Circulation","258_CR22","ML Schwartz","2001",NA,"Circulation","104",NA,"682",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schwartz ML, Gauvreau K, Geva T. Predictors of outcome of biventricular repair in infants with multiple left heart obstructive lesions. Circulation. 2001;104:682–7."
"561","10.1007/s12031-017-0904-2","20","15","10.1002/mds.23611","904_CR15, crossref, 1565, 10.1002/mds.23611, 26, A Osmanovic, 2011, Osmanovic A, Dendorfer A, Erogullari A, Uflacker N, Braunholz D, Rakovic A, Vierke G, Gil-Rodriguez C, Munchau A, Albrecht M et al (2011) Truncating mutations in THAP1 define the nuclear localization signal. Mov Disord 26:1565–1567, Mov Disord","904_CR15","A Osmanovic","2011",NA,"Mov Disord","26",NA,"1565",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Osmanovic A, Dendorfer A, Erogullari A, Uflacker N, Braunholz D, Rakovic A, Vierke G, Gil-Rodriguez C, Munchau A, Albrecht M et al (2011) Truncating mutations in THAP1 define the nuclear localization signal. Mov Disord 26:1565–1567"
"562","10.1177/1362168815606151","49","15","10.1017/S026144480999036X","bibr15-1362168815606151, 10.1017/S026144480999036X, publisher","bibr15-1362168815606151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","10.1080/13603124.2016.1278044","44","8",NA,"CIT0008, Boyer E. L., 1990, Scholarship reconsidered: Priorities of the professoriate","CIT0008","Boyer E. L.","1990",NA,NA,"Scholarship reconsidered: Priorities of the professoriate",NA,NA,"Scholarship reconsidered: Priorities of the professoriate",NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","10.1590/s0102-053620150000300011","30","18","10.1590/S0100-41582005000600007","ref18, crossref, 619, 10.1590/S0100-41582005000600007, Resistência de cultivares e linhagens de tomateiros a Tomato chlorotic spot virus e a Potato virus Y, 30, LOURENÇÃO AL, 2005, Fitopatologia Brasileira","ref18","LOURENÇÃO AL","2005","Resistência de cultivares e linhagens de tomateiros a Tomato chlorotic spot virus e a Potato virus Y","Fitopatologia Brasileira","30",NA,"619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","10.3171/2015.7.spine15442","21","13","10.2106/00004623-199302000-00002","b13-spine15442, McLain RF, 75, 162, 1993, J Bone Joint Surg Am, 10.2106/00004623-199302000-00002, crossref","b13-spine15442","McLain RF","1993",NA,"J Bone Joint Surg Am","75",NA,"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","10.1007/s00381-015-2829-9","77","4","10.1016/S1470-2045(07)70208-5","2829_CR4, crossref, 696, 10.1016/S1470-2045(07)70208-5, 8, RG Grundy, 2007, Grundy RG, Wilne SA, Weston CL, Robinson K, Lashford LS, Ironside J, Cox T, Chong WK, Campbell RHA, Bailey CC, Gattamaneni R, Picton S, Thorpe N, Mallucci C, English MW, Punt JAG, Walker DA, Ellison DW, Machin D (2007) Primary postoperative chemotherapy without radiotherapy for intracranial ependymoma in children: the UKCCSG/SIOP prospective study. Lancet Oncol 8:696–705, Lancet Oncol","2829_CR4","RG Grundy","2007",NA,"Lancet Oncol","8",NA,"696",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grundy RG, Wilne SA, Weston CL, Robinson K, Lashford LS, Ironside J, Cox T, Chong WK, Campbell RHA, Bailey CC, Gattamaneni R, Picton S, Thorpe N, Mallucci C, English MW, Punt JAG, Walker DA, Ellison DW, Machin D (2007) Primary postoperative chemotherapy without radiotherapy for intracranial ependymoma in children: the UKCCSG/SIOP prospective study. Lancet Oncol 8:696–705"
"567","10.1080/15533174.2015.1137020","41","21","10.1016/j.tetlet.2009.01.076","cit0022, 10.1016/j.tetlet.2009.01.076, publisher","cit0022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","10.1007/s10499-016-0088-8","16","3",NA,"88_CR3, Y Chang, 2004, Chang Y, Ding J, Song J, Yang W (2004) Biology and aquaculture of sea cucumbers and sea urchins. Ocean Press, Beijing (in Chinese), Biology and aquaculture of sea cucumbers and sea urchins","88_CR3","Y Chang","2004",NA,NA,"Biology and aquaculture of sea cucumbers and sea urchins",NA,NA,"Biology and aquaculture of sea cucumbers and sea urchins",NA,NA,NA,NA,NA,NA,NA,NA,"Chang Y, Ding J, Song J, Yang W (2004) Biology and aquaculture of sea cucumbers and sea urchins. Ocean Press, Beijing (in Chinese)"
"569","10.1371/journal.pone.0158121","46","12","10.3748/wjg.v20.i7.1746","7, ref12, crossref, 1746, 10.3748/wjg.v20.i7.1746, Modulation of hepatic steatosis by dietary fatty acids, 20, A Ferramosca, 2014, World J Gastroenterol","ref12","A Ferramosca","2014","Modulation of hepatic steatosis by dietary fatty acids","World J Gastroenterol","20","7","1746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570","10.3390/ma10060594","24","24",NA,"ref24, Slot Die Coating Technologyhttps://www.pstc.org/files/public/Miller09.pdf","ref24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slot Die Coating Technologyhttps://www.pstc.org/files/public/Miller09.pdf"
"571","10.1111/1365-2664.12482","165","95","10.1046/j.1523-1739.2003.02366.x","10.1111/1365-2664.12482-BIB0095|jpe12482-cit-0095, crossref, 31, 10.1046/j.1523-1739.2003.02366.x, Nonindigenous species: ecological explanation, environmental ethics, and public policy, 17, Lodge, 2003, Conservation Biology","10.1111/1365-2664.12482-BIB0095|jpe12482-cit-0095","Lodge","2003","Nonindigenous species: ecological explanation, environmental ethics, and public policy","Conservation Biology","17",NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","10.1186/s13099-015-0063-3","54","22","10.3389/fmicb.2012.00024","63_CR22, crossref, 24, 10.3389/fmicb.2012.00024, 3, L Poirel, 2012, Poirel L, Cattoir V, Nordmann P (2012) Plasmid-mediated quinolone resistance; interactions between human, animal, and environmental ecologies. Front Microbiol 3:24, Front Microbiol","63_CR22","L Poirel","2012",NA,"Front Microbiol","3",NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poirel L, Cattoir V, Nordmann P (2012) Plasmid-mediated quinolone resistance; interactions between human, animal, and environmental ecologies. Front Microbiol 3:24"
"573","10.1145/2742801","50","44","10.1109/TKDE.2010.224","key-10.1145/2742801-44, Zhiwen Yu, Zhiyong Yu, Xingshe Zhou, Christian Becker, and Yuichi Nakamura. 2012b. Tree-based mining for discovering patterns of human interaction in meetings. IEEE Trans. on Knowl. and Data Eng. 24, 4, 759--768., 10.1109/TKDE.2010.224, crossref","key-10.1145/2742801-44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zhiwen Yu, Zhiyong Yu, Xingshe Zhou, Christian Becker, and Yuichi Nakamura. 2012b. Tree-based mining for discovering patterns of human interaction in meetings. IEEE Trans. on Knowl. and Data Eng. 24, 4, 759--768."
"574","10.1103/physrevd.94.044021","41","30","10.1023/A:1013011312648","PhysRevD.94.044021Cc30R1, 10.1023/A:1013011312648, publisher","PhysRevD.94.044021Cc30R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","10.1155/2017/5728946","31","19","10.1148/radiol.2015150667","19, 10.1148/radiol.2015150667, publisher","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
